PLAYER_ID,PLAYER_NAME,DRAFT_YEAR,ORGANIZATION_TYPE,PRE_NBA_SEASON,PRE_NBA_GP,PRE_NBA_MPG,PRE_NBA_PPG,PRE_NBA_RPG,PRE_NBA_APG,PRE_NBA_TS_PCT,PRE_NBA_USG_PCT,FIRST_VALUABLE_NBA_SEASON,FIRST_VALUABLE_NBA_GP,FIRST_VALUABLE_NBA_MPG,FIRST_VALUABLE_NBA_PPG,FIRST_VALUABLE_NBA_RPG,FIRST_VALUABLE_NBA_APG,FIRST_VALUABLE_NBA_TS_PCT,FIRST_VALUABLE_NBA_USG_PCT
1628398,Kyle Kuzma,2017,College/University,2017,28.0,30.6,16.2,9.4,2.5,0.571,0.269,2017-18,77.0,31.2,16.1,6.3,1.8,0.549,0.219
1628400,Semi Ojeleye,2017,College/University,2017,35.0,34.1,19.0,6.9,1.5,0.63,0.258,2017-18,73.0,15.8,2.7,2.2,0.3,0.473,0.088
1628400,Semi Ojeleye,2017,College/University,2017,35.0,34.1,19.0,6.9,1.5,0.63,0.258,2017-18,73.0,15.8,2.7,2.2,0.3,0.473,0.088
1628401,Derrick White,2017,College/University,2017,33.0,32.9,18.1,4.1,4.3,0.634,0.252,2018-19,67.0,25.8,9.9,3.7,3.9,0.555,0.178
1628401,Derrick White,2017,College/University,2017,33.0,32.9,18.1,4.1,4.3,0.634,0.252,2018-19,67.0,25.8,9.9,3.7,3.9,0.555,0.178
1628402,Frank Jackson,2017,College/University,2017,36.0,24.9,10.9,2.5,1.7,0.605,0.211,2018-19,61.0,19.2,8.1,2.2,1.1,0.517,0.178
1628402,Frank Jackson,2017,College/University,2017,36.0,24.9,10.9,2.5,1.7,0.605,0.211,2018-19,61.0,19.2,8.1,2.2,1.1,0.517,0.178
1628404,Josh Hart,2017,College/University,2017,36.0,33.2,18.7,6.4,2.9,0.626,0.277,2017-18,63.0,23.2,7.9,4.2,1.3,0.596,0.133
1628404,Josh Hart,2017,College/University,2017,36.0,33.2,18.7,6.4,2.9,0.626,0.277,2017-18,63.0,23.2,7.9,4.2,1.3,0.596,0.133
1628407,Dwayne Bacon,2017,College/University,2017,35.0,28.8,17.2,4.2,1.7,0.548,0.295,2017-18,53.0,13.5,3.3,2.3,0.7,0.431,0.13
1628407,Dwayne Bacon,2017,College/University,2017,35.0,28.8,17.2,4.2,1.7,0.548,0.295,2017-18,53.0,13.5,3.3,2.3,0.7,0.431,0.13
1628409,Alec Peters,2017,College/University,2017,29.0,35.1,23.0,10.1,2.2,0.602,0.305,2017-18,20.0,11.2,4.1,1.8,0.6,0.523,0.151
1628409,Alec Peters,2017,College/University,2017,29.0,35.1,23.0,10.1,2.2,0.602,0.305,2017-18,20.0,11.2,4.1,1.8,0.6,0.523,0.151
1628411,Wes Iwundu,2017,College/University,2017,34.0,31.3,12.7,6.3,3.4,0.585,0.221,2017-18,62.0,16.5,3.7,2.2,0.9,0.48,0.114
1628411,Wes Iwundu,2017,College/University,2017,34.0,31.3,12.7,6.3,3.4,0.585,0.221,2017-18,62.0,16.5,3.7,2.2,0.9,0.48,0.114
1628412,Frank Mason III,2017,College/University,2017,36.0,36.2,20.9,4.2,5.2,0.631,0.255,2017-18,52.0,18.9,7.9,2.5,2.8,0.48,0.226
1628412,Frank Mason III,2017,College/University,2017,36.0,36.2,20.9,4.2,5.2,0.631,0.255,2017-18,52.0,18.9,7.9,2.5,2.8,0.48,0.226
1628414,Sindarius Thornwell,2017,College/University,2017,31.0,34.3,21.4,7.1,2.8,0.6,0.291,2017-18,73.0,15.8,3.9,1.9,0.9,0.519,0.118
1628414,Sindarius Thornwell,2017,College/University,2017,31.0,34.3,21.4,7.1,2.8,0.6,0.291,2017-18,73.0,15.8,3.9,1.9,0.9,0.519,0.118
1628415,Dillon Brooks,2017,College/University,2017,35.0,25.3,16.1,3.2,2.7,0.591,0.316,2017-18,82.0,28.7,11.0,3.1,1.6,0.531,0.184
1628415,Dillon Brooks,2017,College/University,2017,35.0,25.3,16.1,3.2,2.7,0.591,0.316,2017-18,82.0,28.7,11.0,3.1,1.6,0.531,0.184
1628416,Tyler Dorsey,2017,College/University,2017,39.0,30.0,14.6,3.5,1.7,0.612,0.229,2017-18,56.0,17.4,7.2,2.3,1.4,0.494,0.193
1628416,Tyler Dorsey,2017,College/University,2017,39.0,30.0,14.6,3.5,1.7,0.612,0.229,2017-18,56.0,17.4,7.2,2.3,1.4,0.494,0.193
1628417,Jaron Blossomgame,2017,College/University,2017,32.0,34.3,17.5,6.2,1.6,0.565,0.257,2018-19,27.0,16.3,4.2,3.6,0.5,0.51,0.12
1628417,Jaron Blossomgame,2017,College/University,2017,32.0,34.3,17.5,6.2,1.6,0.565,0.257,2018-19,27.0,16.3,4.2,3.6,0.5,0.51,0.12
1628418,Thomas Bryant,2017,College/University,2017,33.0,28.2,12.5,6.6,1.4,0.611,0.219,2018-19,72.0,20.8,10.5,6.3,1.3,0.674,0.17
1628418,Thomas Bryant,2017,College/University,2017,33.0,28.2,12.5,6.6,1.4,0.611,0.219,2018-19,72.0,20.8,10.5,6.3,1.3,0.674,0.17
1628420,Monte Morris,2017,College/University,2017,35.0,35.3,16.4,4.8,6.2,0.56,0.228,2018-19,82.0,24.0,10.4,2.4,3.6,0.577,0.168
1628420,Monte Morris,2017,College/University,2017,35.0,35.3,16.4,4.8,6.2,0.56,0.228,2018-19,82.0,24.0,10.4,2.4,3.6,0.577,0.168
1628422,Damyean Dotson,2017,College/University,2017,32.0,34.3,17.4,6.9,1.1,0.613,0.232,2017-18,44.0,10.8,4.1,1.9,0.7,0.532,0.169
1628422,Damyean Dotson,2017,College/University,2017,32.0,34.3,17.4,6.9,1.1,0.613,0.232,2017-18,44.0,10.8,4.1,1.9,0.7,0.532,0.169
1628425,Sterling Brown,2017,College/University,2017,35.0,32.7,13.4,6.5,3.0,0.588,0.219,2017-18,54.0,14.4,4.0,2.6,0.5,0.503,0.135
1628425,Sterling Brown,2017,College/University,2017,35.0,32.7,13.4,6.5,3.0,0.588,0.219,2017-18,54.0,14.4,4.0,2.6,0.5,0.503,0.135
1628432,Davon Reed,2017,College/University,2017,33.0,35.3,14.9,4.8,2.4,0.585,0.222,2017-18,21.0,11.5,3.0,1.9,0.6,0.388,0.158
1628432,Davon Reed,2017,College/University,2017,33.0,35.3,14.9,4.8,2.4,0.585,0.222,2017-18,21.0,11.5,3.0,1.9,0.6,0.388,0.158
1628960,Grayson Allen,2018,College/University,2018,36.0,35.9,15.8,3.3,4.6,0.591,0.207,2018-19,38.0,11.0,5.6,0.6,0.7,0.516,0.238
1628963,Marvin Bagley III,2018,College/University,2018,32.0,34.0,20.9,11.2,1.5,0.651,0.257,2018-19,62.0,25.3,14.9,7.6,1.0,0.562,0.237
1628964,Mo Bamba,2018,College/University,2018,30.0,30.2,12.9,10.5,0.5,0.6,0.212,2018-19,47.0,16.3,6.2,5.0,0.8,0.539,0.174
1628966,Keita Bates-Diop,2018,College/University,2018,34.0,33.1,19.8,8.7,1.6,0.582,0.295,2018-19,30.0,16.8,5.0,2.8,0.6,0.489,0.14
1628969,Mikal Bridges,2018,College/University,2018,40.0,32.1,17.6,5.3,1.9,0.661,0.232,2018-19,82.0,29.5,8.3,3.2,2.1,0.556,0.119
1628970,Miles Bridges,2018,College/University,2018,33.0,31.6,17.0,7.0,2.8,0.574,0.27,2018-19,80.0,21.2,7.5,4.0,1.2,0.548,0.147
1628971,Bruce Brown,2018,College/University,2018,19.0,33.7,11.4,7.1,4.0,0.494,0.208,2018-19,74.0,19.6,4.3,2.5,1.2,0.469,0.113
