TEAM_ID,PLAYER_ID,PLAYER_NAME,ROSTERSTATUS,SEASON
1610612747,1642261,Dalton Knecht,1,2025-26
1610612766,1642851,Kon Knueppel,1,2025-26
1610612752,1642278,Tyler Kolek,1,2025-26
1610612737,1631132,Christian Koloko,1,2025-26
1610612762,1629723,John Konchar,1,2025-26
1610612759,1628436,Luke Kornet,1,2025-26
1610612757,1630249,Vít Krejčí,1,2025-26
1610612737,1630228,Jonathan Kuminga,1,2025-26
1610612749,1628398,Kyle Kuzma,1,2025-26
1610612747,1631222,Jake LaRavia,1,2025-26
1610612758,203897,Zach LaVine,1,2025-26
1610612737,1629111,Jock Landale,1,2025-26
1610612765,1642404,Chaz Lanier,1,2025-26
1610612748,1641796,Pelle Larsson,1,2025-26
1610612761,1630639,A.J. Lawson,1,2025-26
1610612765,1627747,Caris LeVert,1,2025-26
1610612746,202695,Kawhi Leonard,1,2025-26
1610612744,1642502,Malevy Leons,1,2025-26
1610612751,1630604,E.J. Liddell,1,2025-26
1610612742,1641726,Dereck Lively II,1,2025-26
1610612756,1630587,Isaiah Livers,1,2025-26
1610612740,1626172,Kevon Looney,1,2025-26
1610612746,201572,Brook Lopez,1,2025-26
1610612757,1631126,Caleb Love,1,2025-26
1610612762,201567,Kevin Love,1,2025-26
1610612755,200768,Kyle Lowry,1,2025-26
1610612756,1642863,Khaman Maluach,1,2025-26
1610612761,1630572,Sandro Mamukelashvili,1,2025-26
1610612751,1629611,Terance Mann,1,2025-26
1610612766,1630544,Tre Mann,1,2025-26
1610612762,1628374,Lauri Markkanen,1,2025-26
1610612742,1630230,Naji Marshall,1,2025-26
1610612761,1642918,Alijah Martin,1,2025-26
1610612742,1628997,Caleb Martin,1,2025-26
1610612755,1631213,Tyrese Martin,1,2025-26
1610612763,1642942,Jahmai Mashack,1,2025-26
1610612746,1631097,Bennedict Mathurin,1,2025-26
1610612740,1631255,Karlo Matković,1,2025-26
1610612755,1630178,Tyrese Maxey,1,2025-26
1610612747,1643024,Chris Mañon,1,2025-26
1610612762,1643016,Bez Mbeng,1,2025-26
1610612752,1630540,Miles McBride,1,2025-26
1610612760,1642272,Jared McCain,1,2025-26
1610612741,1630644,Mac McClung,1,2025-26
1610612737,203468,CJ McCollum,1,2025-26
1610612754,204456,T.J. McConnell,1,2025-26
1610612752,1641755,Kevin McCullar Jr.,1,2025-26
1610612750,1630183,Jaden McDaniels,1,2025-26
1610612758,203926,Doug McDermott,1,2025-26
1610612740,1631121,Bryce McGowens,1,2025-26
1610612759,1629162,Jordan McLaughlin,1,2025-26
1610612766,1642862,Liam McNeeley,1,2025-26
1610612744,1629001,De'Anthony Melton,1,2025-26
1610612739,1630241,Sam Merrill,1,2025-26
1610612742,203114,Khris Middleton,1,2025-26
1610612766,1641706,Brandon Miller,1,2025-26
1610612759,1641801,Emanuel Miller,1,2025-26
1610612746,1641757,Jordan Miller,1,2025-26
1610612741,1631159,Leonard Miller,1,2025-26
