PLAYER_ID,PLAYER_NAME,TEAM_ID,OLD_SEASON,NEW_SEASON
1628769,Tahjere McCall,1610612751,2017-18,2018-19
1629058,Dzanan Musa,1610612751,2017-18,2018-19
1629033,Theo Pinson,1610612751,2017-18,2018-19
1629066,Rodions Kurucs,1610612751,2017-18,2018-19
1629312,Haywood Highsmith,1610612755,2017-18,2018-19
1629003,Shake Milton,1610612755,2017-18,2018-19
1628413,Jonah Bolden,1610612755,2017-18,2018-19
1629015,Zhaire Smith,1610612755,2017-18,2018-19
1629155,Zach Lofton,1610612765,2017-18,2018-19
1628971,Bruce Brown,1610612765,2017-18,2018-19
203564,Kalin Lucas,1610612765,2017-18,2018-19
1629004,Svi Mykhailiuk,1610612765,2017-18,2018-19
1629017,Khyri Thomas,1610612765,2017-18,2018-19
1628980,Jacob Evans,1610612744,2017-18,2018-19
1629094,Marcus Derrickson,1610612744,2017-18,2018-19
1627395,Julian Washburn,1610612763,2017-18,2018-19
1628975,Jevon Carter,1610612763,2017-18,2018-19
203474,DJ Stephens,1610612763,2017-18,2018-19
1629139,Yuta Watanabe,1610612763,2017-18,2018-19
1628605,Dusty Hannahs,1610612763,2017-18,2018-19
1628991,Jaren Jackson Jr.,1610612763,2017-18,2018-19
1629121,Jaylen Adams,1610612737,2017-18,2018-19
1629027,Trae Young,1610612737,2017-18,2018-19
1629353,Isaac Humphries,1610612737,2017-18,2018-19
1629016,Omari Spellman,1610612737,2017-18,2018-19
1628989,Kevin Huerter,1610612737,2017-18,2018-19
1626296,Jordan Sibert,1610612737,2017-18,2018-19
202688,Brandon Knight,1610612739,2017-18,2018-19
1628417,Jaron Blossomgame,1610612739,2017-18,2018-19
1629012,Collin Sexton,1610612739,2017-18,2018-19
1629061,Deng Adel,1610612739,2017-18,2018-19
1628402,Frank Jackson,1610612740,2017-18,2018-19
1629026,Kenrich Williams,1610612740,2017-18,2018-19
1629541,Dairis Bertans,1610612740,2017-18,2018-19
1626174,Christian Wood,1610612740,2017-18,2018-19
1628976,Wendell Carter Jr.,1610612741,2017-18,2018-19
1628959,Rawle Alkins,1610612741,2017-18,2018-19
1629102,Brandon Sampson,1610612741,2017-18,2018-19
1628990,Chandler Hutchison,1610612741,2017-18,2018-19
1629010,Jerome Robinson,1610612746,2017-18,2018-19
1629116,Angel Delgado,1610612746,2017-18,2018-19
1629013,Landry Shamet,1610612746,2017-18,2018-19
1628983,Shai Gilgeous-Alexander,1610612746,2017-18,2018-19
1629130,Duncan Robinson,1610612748,2017-18,2018-19
1629150,Emanuel Terry,1610612748,2017-18,2018-19
1628999,Yante Maten,1610612748,2017-18,2018-19
1629168,BJ Johnson,1610612758,2017-18,2018-19
1628385,Harry Giles III,1610612758,2017-18,2018-19
1628963,Marvin Bagley III,1610612758,2017-18,2018-19
1626184,Chasson Randle,1610612764,2017-18,2018-19
1628972,Troy Brown Jr.,1610612764,2017-18,2018-19
203895,Jordan McRae,1610612764,2017-18,2018-19
1628978,Donte DiVincenzo,1610612749,2017-18,2018-19
1629045,Bonzie Colson,1610612749,2017-18,2018-19
1629022,Lonnie Walker IV,1610612759,2017-18,2018-19
1629002,Chimezie Metu,1610612759,2017-18,2018-19
202700,Donatas Motiejunas,1610612759,2017-18,2018-19
1629234,Drew Eubanks,1610612759,2017-18,2018-19
1628984,Devonte' Graham,1610612766,2017-18,2018-19
1629122,J.P. Macura,1610612766,2017-18,2018-19
1629147,Joe Chealey,1610612766,2017-18,2018-19
1628970,Miles Bridges,1610612766,2017-18,2018-19
1628995,Kevin Knox II,1610612752,2017-18,2018-19
1628656,Billy Garrett,1610612752,2017-18,2018-19
1629011,Mitchell Robinson,1610612752,2017-18,2018-19
203098,John Jenkins,1610612752,2017-18,2018-19
