PLAYER_ID,NICKNAME,TEAM_ID,TEAM_ABBREVIATION,AGE,GP,W,L,W_PCT,MIN_trad,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,TOV,STL,BLK,BLKA,PF,PFD,PTS,PLUS_MINUS,NBA_FANTASY_PTS,DD2,TD3,WNBA_FANTASY_PTS,TEAM_COUNT,SEASON,MIN_adv,E_OFF_RATING,OFF_RATING,sp_work_OFF_RATING,E_DEF_RATING,DEF_RATING,sp_work_DEF_RATING,E_NET_RATING,NET_RATING,sp_work_NET_RATING,AST_PCT,AST_TO,AST_RATIO,OREB_PCT,DREB_PCT,REB_PCT,TM_TOV_PCT,E_TOV_PCT,EFG_PCT,TS_PCT,USG_PCT,E_USG_PCT,E_PACE,PACE,PACE_PER40,sp_work_PACE,PIE,POSS,FGM_PG,FGA_PG,PLAYER_NAME
1112,Ben,1610612765,DET,27.0,80,49,31,0.613,2918.931666666667,255,480,0.531,0,3,0.0,99,234,0.423,318,721,1039,115,70,138,278,37,178,0,609,148,3206.3,25,1,2595.0,1,2001-02,36.5,102.5,102.4,102.4,98.8,99.4,99.4,3.7,3.0,3.0,0.062,1.64,14.9,0.115,0.257,0.187,9.1,9.1,0.531,0.522,0.104,0.106,91.48,91.19,75.99,91.19,0.142,5536,3.2,6.0,Ben Wallace
902,Bimbo,1610612739,CLE,34.0,47,15,32,0.319,693.685,56,146,0.384,4,20,0.2,33,37,0.892,12,43,55,107,31,13,4,9,59,0,149,-186,395.5,0,0,349.0,1,2001-02,14.8,92.9,92.6,92.6,107.7,108.2,108.2,-14.8,-15.6,-15.6,0.269,3.45,35.7,0.018,0.066,0.041,10.3,10.3,0.397,0.459,0.128,0.132,90.31,90.27,75.22,90.27,0.064,1313,1.2,3.1,Bimbo Coles
448,Bo,1610612756,PHX,31.0,83,37,46,0.446,1928.595,166,299,0.555,1,2,0.5,43,102,0.422,147,217,364,127,96,70,92,42,205,5,376,54,1393.3,0,0,1192.0,2,2001-02,23.2,99.9,100.6,100.6,97.7,98.4,98.4,2.1,2.2,2.2,0.097,1.32,22.6,0.078,0.111,0.095,17.1,16.9,0.557,0.547,0.101,0.104,92.84,92.19,76.82,92.19,0.071,3691,2.0,3.6,Bo Outlaw
682,Bob,1610612744,GSW,29.0,78,20,58,0.256,1783.746666666667,250,590,0.424,42,133,0.316,236,328,0.72,89,167,256,275,133,88,17,42,160,0,778,-165,1679.7,1,0,1561.0,1,2001-02,22.9,100.5,100.4,100.4,105.3,105.2,105.2,-4.8,-4.8,-4.8,0.263,2.07,23.9,0.047,0.094,0.07,11.6,11.6,0.459,0.53,0.206,0.209,96.25,96.32,80.27,96.32,0.116,3582,3.2,7.6,Bob Sura
1517,Bobby,1610612758,SAC,29.0,81,61,20,0.753,1752.7916666666667,334,754,0.443,79,219,0.361,149,184,0.81,82,169,251,164,93,73,11,38,145,0,896,296,1602.2,0,0,1558.0,1,2001-02,21.6,107.2,107.4,107.4,98.6,98.4,98.4,8.6,9.0,9.0,0.157,1.76,15.0,0.044,0.093,0.068,8.5,8.5,0.495,0.537,0.228,0.232,95.5,95.52,79.6,95.52,0.114,3480,4.1,9.3,Bobby Jackson
2250,Bobby,1610612764,WAS,22.0,30,12,18,0.4,339.69666666666666,43,95,0.453,4,14,0.286,22,30,0.733,25,27,52,17,14,13,5,9,31,0,112,-8,239.9,0,0,221.0,1,2001-02,11.3,103.7,102.1,102.1,103.2,101.4,101.4,0.5,0.8,0.8,0.085,1.21,12.2,0.075,0.085,0.08,10.1,10.1,0.474,0.518,0.16,0.166,91.67,93.19,77.66,93.19,0.075,653,1.4,3.2,Bobby Simmons
1719,Bonzi,1610612757,POR,25.0,74,44,30,0.595,2350.475,487,1039,0.469,66,172,0.384,215,290,0.741,121,323,444,204,191,113,25,62,208,0,1255,176,2316.8,7,0,2245.0,1,2001-02,31.8,106.1,106.9,106.9,101.9,102.6,102.6,4.2,4.3,4.3,0.152,1.07,13.0,0.054,0.145,0.099,12.2,12.2,0.5,0.538,0.26,0.263,92.64,91.95,76.62,91.95,0.117,4494,6.6,14.0,Bonzi Wells
1802,Brad,1610612754,IND,26.0,76,28,48,0.368,2264.075,366,733,0.499,3,7,0.429,297,383,0.775,252,369,621,152,115,76,41,111,244,5,1032,-182,2241.2,19,0,2042.0,2,2001-02,29.8,96.6,98.7,98.7,101.8,102.5,102.5,-5.2,-3.9,-3.9,0.124,1.32,13.1,0.111,0.17,0.14,9.9,9.8,0.501,0.572,0.202,0.204,92.7,91.43,76.19,91.43,0.14,4305,4.8,9.6,Brad Miller
2220,Brandon,1610612751,NJN,22.0,35,24,11,0.686,194.78833333333333,27,85,0.318,5,17,0.294,5,10,0.5,10,6,16,8,8,7,1,4,26,0,64,-34,111.2,0,0,109.0,1,2001-02,5.6,91.2,87.9,87.9,100.1,97.9,97.9,-8.9,-10.1,-10.1,0.079,1.0,7.5,0.045,0.03,0.038,7.5,7.6,0.347,0.358,0.216,0.226,91.94,94.75,78.96,94.75,-0.012,387,0.8,2.4,Brandon Armstrong
2217,Brendan,1610612764,WAS,22.0,62,32,30,0.516,1266.54,109,221,0.493,0,0,0.0,97,160,0.606,143,179,322,29,50,21,91,29,158,1,315,-57,1030.9,2,0,890.0,1,2001-02,20.4,96.9,96.9,96.9,98.2,98.9,98.9,-1.3,-2.0,-2.0,0.038,0.58,7.8,0.111,0.137,0.124,13.5,13.5,0.493,0.54,0.124,0.126,89.35,89.08,74.23,89.08,0.079,2345,1.8,3.6,Brendan Haywood
699,Brent,1610612760,SEA,30.0,81,44,37,0.543,3038.235,401,790,0.508,164,387,0.424,198,234,0.846,58,383,441,426,165,147,37,32,182,0,1164,199,2719.2,8,0,2563.0,1,2001-02,37.5,107.0,108.2,108.2,103.7,104.5,104.5,3.3,3.7,3.7,0.209,2.58,29.0,0.02,0.13,0.076,11.2,11.1,0.611,0.652,0.157,0.16,92.21,91.36,76.14,91.36,0.136,5775,5.0,9.8,Brent Barry
