PLAYER_ID,PLAYER_NAME_trad,NICKNAME,TEAM_ID,TEAM_ABBREVIATION,AGE,GP,W,L,W_PCT,MIN_trad,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,TOV,STL,BLK,BLKA,PF,PFD,PTS,PLUS_MINUS,NBA_FANTASY_PTS,DD2,TD3,WNBA_FANTASY_PTS,TEAM_COUNT,SEASON,PLAYER_NAME_adv,MIN_adv,E_OFF_RATING,OFF_RATING,sp_work_OFF_RATING,E_DEF_RATING,DEF_RATING,sp_work_DEF_RATING,E_NET_RATING,NET_RATING,sp_work_NET_RATING,AST_PCT,AST_TO,AST_RATIO,OREB_PCT,DREB_PCT,REB_PCT,TM_TOV_PCT,E_TOV_PCT,EFG_PCT,TS_PCT,USG_PCT,E_USG_PCT,E_PACE,PACE,PACE_PER40,sp_work_PACE,PIE,POSS,FGM_PG,FGA_PG
1629667,Jalen McDaniels,Jalen,1610612766,CHA,23.0,47,18,29,0.383,903.58,133,284,0.468,35,105,0.333,45,64,0.703,45,124,169,53,45,28,19,23,95,60,346,-180,724.3,2,0,697.0,1,2020-21,Jalen McDaniels,19.2,104.8,104.6,104.6,114.2,113.9,113.9,-9.4,-9.4,-9.4,0.09,1.18,13.0,0.047,0.138,0.091,11.0,11.0,0.53,0.554,0.169,0.175,98.31,98.54,82.12,98.54,0.073,1852,2.8,6.0
1630188,Jalen Smith,Jalen,1610612756,PHX,21.0,27,19,8,0.704,155.725,22,50,0.44,4,17,0.235,5,7,0.714,7,30,37,4,7,1,4,1,16,8,53,-16,111.4,1,0,108.0,1,2020-21,Jalen Smith,5.8,108.5,106.3,106.3,110.7,110.7,110.7,-2.2,-4.4,-4.4,0.037,0.57,6.3,0.044,0.174,0.111,10.9,10.9,0.48,0.499,0.161,0.169,102.62,103.72,86.43,103.72,0.059,336,0.8,1.9
1627750,Jamal Murray,Jamal,1610612743,DEN,24.0,48,31,17,0.646,1703.6416666666669,378,792,0.477,129,316,0.408,133,153,0.869,37,157,194,231,108,64,13,26,95,160,1018,301,1720.3,1,0,1726.0,1,2020-21,Jamal Murray,35.5,117.5,118.6,118.6,110.4,110.6,110.6,7.1,8.0,8.0,0.197,2.14,19.3,0.023,0.095,0.059,9.0,9.0,0.559,0.592,0.244,0.249,97.92,97.41,81.18,97.41,0.117,3468,7.9,16.5
203516,James Ennis III,James,1610612753,ORL,30.0,41,12,29,0.293,986.3,115,243,0.473,45,104,0.433,70,87,0.805,43,123,166,62,36,32,7,19,84,71,345,-73,718.2,1,0,696.0,1,2020-21,James Ennis III,24.1,106.9,107.9,107.9,111.5,111.7,111.7,-4.5,-3.8,-3.8,0.087,1.72,16.5,0.042,0.123,0.082,9.6,9.5,0.566,0.613,0.137,0.14,100.13,99.6,83.0,99.6,0.077,2049,2.8,5.9
201935,James Harden,James,1610612751,BKN,31.0,44,31,13,0.705,1608.8366666666666,342,734,0.466,121,334,0.362,278,323,0.861,35,313,348,475,177,53,33,47,99,224,1083,102,2294.1,32,12,2199.0,2,2020-21,James Harden,36.6,116.7,117.2,117.2,112.9,114.3,114.3,3.8,2.9,2.9,0.442,2.68,31.2,0.023,0.191,0.111,11.6,11.6,0.548,0.618,0.283,0.289,100.66,99.78,83.15,99.78,0.174,3347,7.8,16.7
201949,James Johnson,James,1610612740,NOP,34.0,51,21,30,0.412,1042.965,146,327,0.446,31,120,0.258,45,76,0.592,32,145,177,98,55,42,42,15,120,55,368,-128,924.4,0,0,842.0,2,2020-21,James Johnson,20.5,106.0,106.4,106.4,110.7,111.4,111.4,-4.7,-5.0,-5.0,0.134,1.78,19.1,0.029,0.131,0.08,10.7,10.7,0.494,0.51,0.166,0.17,103.07,102.54,85.45,102.54,0.071,2220,2.9,6.4
203263,James Nunnally,James,1610612740,NOP,30.0,9,3,6,0.333,47.785,5,13,0.385,4,12,0.333,1,2,0.5,2,7,9,3,2,0,0,0,1,2,15,-4,28.3,0,0,31.0,1,2020-21,James Nunnally,5.3,101.7,99.0,99.0,110.6,103.9,103.9,-9.0,-4.8,-4.8,0.094,1.5,15.8,0.033,0.149,0.084,10.5,10.6,0.538,0.54,0.129,0.134,99.47,103.97,86.64,103.97,0.075,104,0.6,1.4
1630164,James Wiseman,James,1610612744,GSW,20.0,39,18,21,0.462,835.88,191,368,0.519,12,38,0.316,54,86,0.628,55,171,226,26,60,11,36,21,121,73,448,-183,839.2,3,0,806.0,1,2020-21,James Wiseman,21.4,100.5,101.8,101.8,110.4,110.6,110.6,-9.9,-8.8,-8.8,0.05,0.43,5.3,0.063,0.19,0.127,12.2,12.2,0.535,0.552,0.231,0.234,106.46,105.66,88.05,105.66,0.088,1830,4.9,9.4
201162,Jared Dudley,Jared,1610612747,LAL,35.0,12,7,5,0.583,80.65,2,9,0.222,2,6,0.333,0,0,0.0,4,17,21,5,2,1,1,1,7,0,6,2,42.7,0,0,38.0,1,2020-21,Jared Dudley,6.7,101.2,97.7,97.7,101.6,99.4,99.4,-0.4,-1.7,-1.7,0.081,2.5,31.3,0.047,0.213,0.127,12.5,12.5,0.333,0.333,0.056,0.059,97.46,100.29,83.57,100.29,0.055,171,0.2,0.8
1629607,Jared Harper,Jared,1610612752,NYK,23.0,8,5,3,0.625,16.25,0,4,0.0,0,1,0.0,3,4,0.75,0,2,2,1,3,0,0,0,1,2,3,-5,3.9,0,0,6.0,1,2020-21,Jared Harper,2.0,90.5,78.6,78.6,100.1,95.0,95.0,-9.6,-16.4,-16.4,0.125,0.33,10.0,0.0,0.091,0.045,30.0,30.7,0.0,0.26,0.2,0.228,109.94,121.11,100.92,121.11,-0.052,42,0.0,0.5
